Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bangladesh,BGD,"Population ages 0-14, female",SP.POP.0014.FE.IN,22695206,22549510,22393138,22227798,22050648,21872927,21707562,21557302
Bangladesh,BGD,"Population ages 0-14, male",SP.POP.0014.MA.IN,23658247,23516040,23355679,23195495,23019934,22838157,22664419,22504586
Bangladesh,BGD,"Population ages 0-14, total",SP.POP.0014.TO,46353532,46065580,45748820,45423270,45070552,44711068,44371981,44061889
Bangladesh,BGD,"Population ages 05-09, female",SP.POP.0509.FE,7621998,7523782,7430525,7348266,7285856,7240939,7205409,7167474
Bangladesh,BGD,"Population ages 05-09, male",SP.POP.0509.MA,7937742,7839366,7744060,7662021,7598682,7552882,7516539,7476957
Bangladesh,BGD,"Population ages 10-14, female",SP.POP.1014.FE,7807021,7797534,7773843,7704184,7620568,7531942,7449811,7381842
Bangladesh,BGD,"Population ages 10-14, male",SP.POP.1014.MA,8142224,8133988,8107249,8039741,7958614,7868708,7781476,7707436
Bangladesh,BGD,"Population, total",SP.POP.TOTL,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,77504601,78368220,79217157,80048910,80869068,81677117,82473791,83259108
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,75256812,76149165,77039130,77928241,78816353,79699596,80572382,81430275
Brazil,BRA,"Population ages 00-04, female",SP.POP.0004.FE,7175157,7160552,7147350,7180528,7181616,7157427,7117753,7070447
Brazil,BRA,"Population ages 00-04, male",SP.POP.0004.MA,7500324,7489945,7480101,7519969,7522782,7496824,7454197,7404646
Brazil,BRA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,23.3356033423521,22.8674911148684,22.4208223092157,22.0495231024737,21.6838368026363,21.3340719108545,21.0091937329952,20.7091991600636
Brazil,BRA,"Population ages 0-14, female",SP.POP.0014.FE.IN,22980870,22707448,22445657,22251153,22054151,21864173,21688644,21526480
Brazil,BRA,"Population ages 0-14, male",SP.POP.0014.MA.IN,23932067,23659523,23398593,23206777,23012141,22824115,22651125,22492872
Brazil,BRA,"Population ages 0-14, total",SP.POP.0014.TO,46912941,46366981,45844250,45457971,45066347,44688335,44339802,44019351
Brazil,BRA,"Population ages 05-09, female",SP.POP.0509.FE,7574160,7442460,7325957,7235264,7177952,7152820,7146432,7136977
Brazil,BRA,"Population ages 05-09, male",SP.POP.0509.MA,7884126,7751412,7634283,7544149,7490039,7470234,7469798,7464840
Brazil,BRA,"Population ages 10-14, female",SP.POP.1014.FE,8231553,8104436,7972350,7835361,7694583,7553926,7424459,7319056
